Отчет о ключевых словах в поисковой сети
22 июня 2025 г. - 28 июля 2025 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Кампания,Группа объявлений,Статус,Причины статуса,Конечный URL,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы,Коэфф. конверсии,Ценность конв.,Ценн. конв./стоим.,Конверсии,Стоимость/конв.
Включено,petg пластик цена,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,купить petg пластик для 3d-принтера,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,sanlu,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,2,12,"16,67%",UAH,"3,04","6,08","75,00%","62,74","10,32","1,50","4,05"
Включено,купить пластик для 3d печати,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,5,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пэтг пластик,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,esun petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,4,16,"25,00%",UAH,"6,18","24,71","1225,00%","2 048,16","82,88","49,00","0,50"
Включено,petg филамент купить,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,fiberlogy petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg natural,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,петг филамент,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,3,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,синий petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,esun petg купить,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,петг пластик купить,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg пищевой,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,3,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3д печати petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,1,22,"4,55%",UAH,"3,52","3,52","100,00%","41,77","11,87","1,00","3,52"
Включено,petg филамент,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,2,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg цена,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg пластик для 3д принтера,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,1,6,"16,67%",UAH,"12,99","12,99","0,00%","0,00","0,00","0,00","0,00"
Включено,petg 1.75,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,1,15,"6,67%",UAH,"12,96","12,96","400,00%","167,74","12,94","4,00","3,24"
Включено,petg пластик прозрачный,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3d печати,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,лучший petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,преимущества petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,цена 3d печати,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,серый petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""esun petg""",Фразовое соответствие,PETG-RU,PETG-RU-General,Допущено,,,1,3,"33,33%",UAH,"5,67","5,67","300,00%","125,43","22,12","3,00","1,89"
